"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"Enuresis Alarm - Is a Manual Trigger System Beneficial?","Recruiting","No Results Available","Enuresis, Nocturnal","Behavioral: Manual Trigger|Behavioral: Normal","University of Iowa, Iowa City, Iowa, United States","https://ClinicalTrials.gov/show/NCT03522818"
2,"Comparative Study of the Efficacy of TENS Versus Placebo in Isolated Primary Enuresis","Recruiting","No Results Available","Enuresis, Nocturnal","Other: TENS|Other: TENS Sham","CH de Cannes, Cannes, France|CH de GRASSE, Grasse, France|CHU de Nice, Nice, France|Hôpitaux Pédiatrique de Nice CHU Lenval, Nice, France","https://ClinicalTrials.gov/show/NCT04413461"
3,"The Effect of Selecting Treatment With Desmopressin or Alarm to Children With Enuresis Based on Home Recordings.","Recruiting","No Results Available","Enuresis, Nocturnal","Drug: Desmopressin|Device: Conditional alarm","Algemeen Ziekenhuis Sint-Jan Brugge, Brugge, Belgium|Ghent University Hospital, Ghent, Belgium|First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China|Aalborg University Hospital, Aalborg, Jylland, Denmark|Aarhus University Hospital, Aarhus, Jylland, Denmark|University Clinical Centre in Gdańsk, Gdańsk, Poland","https://ClinicalTrials.gov/show/NCT03389412"
4,"Foot Neuromodulation for Nocturnal Enuresis","Completed","Has Results","Bedwetting","Device: TRANSCUTANEOUS ELECTRICAL NERVE STIMULATOR (TENS","Children's Hospital of Pittsburgh og UPMC, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT02315560"
5,"Ability to Awaken in Nonmonosymptomatic Enuresis","Completed","No Results Available","Enuresis, Nocturnal, 2 (Disorder)","Drug: anticholinergic",,"https://ClinicalTrials.gov/show/NCT02845648"
6,"Treatment of Monosymptomatic Nocturnal Enuresis","Not yet recruiting","No Results Available","Nocturnal Enuresis","Other: Rehabilitation","Nehad ElShatby, Alexandria, Egypt","https://ClinicalTrials.gov/show/NCT05306639"
7,"TENS Treatment for Bedwetting","Recruiting","No Results Available","Nocturnal Enuresis|Bed Wetting","Device: pulse rate of 2 Hz|Device: pulse rate of 10 Hz|Device: pulse rate of 150 Hz","Albany Medical College, Albany, New York, United States","https://ClinicalTrials.gov/show/NCT04313192"
8,"Scheduled Awakenings for the Treatment of Nocturnal Enuresis","Completed","Has Results","Nocturnal Enuresis","Device: Lully Sleep Guardian","Riley Hopspital for Children, Indianapolis, Indiana, United States","https://ClinicalTrials.gov/show/NCT03047720"
9,"Uroflowmetry in Children With Enuresis Nocturnal","Completed","No Results Available","Enuresis","Device: uroflowmetry","Hisar Intercontinental Hospital, Istanbul, Turkey","https://ClinicalTrials.gov/show/NCT05190601"
10,"Transcutaneous Electric Nerve Stimulation (TENS) for the Treatment of Nocturnal Enuresis in Children","Completed","No Results Available","Nocturnal Enuresis|Bedwetting","Device: transcutaneous electric nerve stimulation","Albany Medical College, Albany, New York, United States|Pediatric Urology Associates, Brooklyn, New York, United States|Cohen Children's Medical Center of NY, New Hyde Park, New York, United States|Pediatric Urology Associates, New Hyde Park, New York, United States|Pediatric Urology Associates, Tarrytown, New York, United States","https://ClinicalTrials.gov/show/NCT02900495"
11,"Clinical Values of Voiding Diary for Diagnosis and Treatment for Monosymptomatic Enuresis in Children","Unknown status","No Results Available","Nocturnal Enuresis","Diagnostic Test: the 3-day voiding diary|Diagnostic Test: the 7-day voiding diary","The Children Hospital of Zhejiang University School of Medicine, Hangzhou, Zhejiang, China","https://ClinicalTrials.gov/show/NCT03199508"
12,"Posterior Tibial Nerve Stimulation Vs Desmopressin In Children With Primary Monosymptomatic Nocturnal Enuresis","Recruiting","No Results Available","Primary Monosymptomatic Nocturnal Enuresis","Device: Posterior tibial nerve stimulation|Drug: Desmopressin Acetate","Abo ElRish children hospital, Cairo, Egypt","https://ClinicalTrials.gov/show/NCT04545931"
13,"Hand & Foot Nocturnal Enuresis TENS Study","Completed","No Results Available","Bedwetting","Device: TENS","Children's Hospital of Pittsburgh og UPMC, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT02747849"
14,"Minirin Versus Oxybutynin for Nocturnal Enuresis in Children","Completed","No Results Available","Nocturnal Enuresis","Drug: Minirin|Drug: Oxybutynin","Shahid Mohammadi hospital, Bandar Abbas, Hormozgan, Iran, Islamic Republic of","https://ClinicalTrials.gov/show/NCT02538302"
15,"The Relationship Between Nocturnal Enuresis And Spina Bifida Occulta","Completed","No Results Available","Enuresis, Nocturnal|Spina Bifida",,,"https://ClinicalTrials.gov/show/NCT03543995"
16,"A New Check-list Method for Nocturnal Enuresis","Completed","No Results Available","Nocturnal Enuresis","Drug: desmopressin melt form 120 μg|Behavioral: Verbal behavioral therapy|Behavioral: Behavioral therapy with written check-list","Ankara Training and Research Hospital, Ankara, Turkey","https://ClinicalTrials.gov/show/NCT03510975"
17,"Nocturnal Enuresis and Rapid Maxillary Expansion","Completed","No Results Available","Nocturnal Enuresis","Device: Rapid Maxillary Expansion|Device: Placebo Appliance","Folktandvården Uppsala län, Uppsala, Uppland, Sweden","https://ClinicalTrials.gov/show/NCT02178826"
18,"A Study of Oral Desmopressin in Previously Untreated Children Aged 5 to 15 Years With Primary Nocturnal Enuresis","Completed","No Results Available","Nocturnal Enuresis","Drug: Primary nocturnal enuresis","Foundation Hospital Saint Joseph, 185, rue Raymond Losserand, Paris Cedex 14, France","https://ClinicalTrials.gov/show/NCT00245479"
19,"Overnight Pant Study for Children With Nocturnal Enuresis","Completed","No Results Available","Nocturnal Enuresis","Device: Ninjamas Pyjama Pants|Other: Participant's Overnight Current Standard of Care","North Cliff Consultants, Cincinnati, Ohio, United States","https://ClinicalTrials.gov/show/NCT05178641"
20,"A Study to Determine if Ibuprofen in Combination With Pseudoephedrine HCl is More Effective Than Each Drug Alone in the Treatment of Nighttime Bedwetting","Completed","No Results Available","Enuresis","Drug: ibuprofen; pseudoephedrine HCl",,"https://ClinicalTrials.gov/show/NCT00240812"
